"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"5236",-2.60488118718009,1.18152762276172,-3.43002777707991,NA,NA,-0.499377593447021,1.14328393973769,-0.0611630097891617,NA,NA,NA,3.73042030474752,NA,-0.0430532260393807,8,-59.3980715153229,135.658418479748,7.80214632011719,0.000180828457399255
"527",0.245087152092886,NA,-4.66572023493986,-0.0169313486238222,-1.30585883281951,NA,NA,NA,NA,NA,1.7324634094146,NA,NA,NA,5,-62.6532751493783,135.659491475227,7.80321931559682,0.000180731469359825
"3159",-1.94765268872126,NA,-2.4928109941633,-0.0418859820380914,NA,-0.473529703224341,NA,0.63439441172823,NA,NA,NA,3.66434239228579,-1.43443616092459,NA,7,-60.4997864315905,135.666239529848,7.80996737021734,0.000180122704019342
"2567",0.521803976844266,NA,-4.14308809503608,-0.291458661745005,NA,NA,NA,NA,NA,NA,1.16684043109726,NA,-1.54598568721891,NA,5,-62.6570714101002,135.667083996671,7.81081183704053,0.000180046666249491
"6923",1.76569383405587,NA,-5.0251350424461,NA,-1.90784777009054,NA,NA,NA,NA,-2.03152872830436,2.93643600911602,NA,-1.821156447142,0.359148722405698,7,-60.5011363740312,135.668939414729,7.81266725509867,0.000179879712785649
"4140",0.16314842607116,1.2434910785897,-4.45114850045662,NA,-1.3061598839417,NA,0.828306139296001,NA,NA,NA,NA,NA,NA,0.0398456612200851,6,-61.5863573468811,135.669756113881,7.81348395425015,0.000179806273976623
"2960",1.28374891559911,1.15404855311954,-5.58576831387621,-0.468831118167015,-2.37241663534545,NA,NA,NA,2.61760307170472,-1.82018884025244,2.29824868976907,NA,-2.04432467215788,NA,9,-58.2933254332281,135.670988215854,7.8147160562235,0.000179695538257056
"2452",0.00437732237572634,1.21670265890084,-4.01945985892598,NA,NA,-0.741334413723871,NA,NA,1.88148949516405,-0.619173637350929,NA,NA,-1.40521768466893,NA,7,-60.5034698252695,135.673606317206,7.81733415757536,0.000179460461588444
"2703",0.73223853918517,NA,-4.95436688044804,-0.507023178353222,-1.89473300469366,NA,NA,NA,2.11399786554874,NA,2.06402923476271,NA,-2.11708498362306,NA,7,-60.5077001689189,135.682067004505,7.82579484487415,0.000178702885697411
"4355",-0.254058376047306,NA,-3.00855089459889,NA,NA,NA,NA,NA,NA,-0.71725883074952,NA,NA,NA,0.191584580757454,4,-63.7278529865812,135.689624101817,7.83335194218689,0.000178028922252476
"3531",-2.65312854506436,NA,-2.84344260921411,NA,-1.26390172333962,NA,NA,1.50107470931258,1.90592563131001,-0.735096586168947,NA,3.68701565141903,-1.53244379336134,NA,8,-59.4141830803306,135.690641609763,7.83436945013257,0.00017793837236676
"7052",0.934526446482612,1.1772692788596,-5.53253615901298,NA,-2.34006862015178,NA,NA,NA,2.55202086056588,-1.83474370696633,2.18687715516164,NA,-2.00179683608535,0.266709826748564,9,-58.3048833086645,135.694103966727,7.83783180709618,0.000177630595770409
"2156",1.30189145569571,1.32069526255356,-4.11883984826116,NA,-1.4833475901194,NA,0.990265233299947,-0.715956817273668,NA,NA,NA,NA,-1.66751599134547,NA,7,-60.5141461099446,135.694958886556,7.83868672692545,0.0001775546820373
"1624",-2.26545180683262,0.964654898711108,-3.84223315167056,0.0602066764364776,NA,-0.472348155983953,NA,-0.279399636784033,NA,NA,1.15117847210415,3.77082289729856,NA,NA,8,-59.4176350888166,135.697545626735,7.84127346710456,0.000177325186565573
"3098",-2.94748655953275,0.603654264731745,NA,NA,-0.899571755401639,-0.219021504201069,NA,NA,NA,NA,NA,4.65795618052976,-1.67594319596257,NA,6,-61.6002901105758,135.69762164127,7.8413494816396,0.000177318447047845
"5716",-2.23298347633118,0.961943500305226,-3.84393129613099,NA,NA,-0.474896955448786,NA,-0.27645224387027,NA,NA,1.16010659392848,3.77218602872377,NA,-0.00539238345696913,8,-59.4185976054684,135.699470660039,7.84319850040818,0.000177154590234793
"160",-0.607431124265918,1.44026624859983,-4.56839394371924,0.251225595658002,-1.35582376044228,-0.274593079364837,NA,NA,2.20461143734782,NA,NA,NA,NA,NA,7,-60.5194937036835,135.705654074034,7.84938191440328,0.000176607725956182
"1441",-4.37314456198544,NA,NA,NA,NA,NA,0.426443837502548,NA,1.12919779360241,-1.00404773258037,NA,4.26613759179933,NA,NA,5,-62.6765928483969,135.706126873264,7.84985471363403,0.000176565980892146
"2763",0.672661447545092,NA,-4.77992043462913,NA,-1.80278802402406,NA,NA,-0.481894828115668,1.92109043244435,NA,2.12740864565454,NA,-2.04740082603181,NA,7,-60.5204564112394,135.707579489146,7.85130732951511,0.00017643778617825
"7964",-0.177245105013331,0.941219810759332,-4.62424485466802,NA,-1.74752418553482,-0.417118287533708,NA,NA,NA,-1.57110306332605,2.48228387075116,3.47035740885529,-1.83719604375688,0.239745462813011,10,-57.1895253446885,135.71238402271,7.85611186307999,0.000176014444239074
"7491",-2.25994977689652,NA,-2.40579633479476,NA,NA,NA,NA,0.650736088434055,NA,-0.49732173207349,NA,3.81767790754184,-1.31996030491321,0.207319998259277,7,-60.524471588695,135.715609844057,7.85933768442622,0.000175730777489398
"3114",-3.21098749479075,0.595993697429476,NA,NA,-0.955703960226861,NA,0.223858790036628,NA,NA,NA,NA,4.78955752181492,-1.62271846772097,NA,6,-61.6127554830113,135.722552386141,7.86628022651048,0.000175121825859842
"2831",2.14612498573837,NA,-5.05578788901084,-0.464626671771653,-1.92188642400705,NA,NA,NA,NA,-1.99071149907023,3.00833843258243,NA,-1.81785019550718,NA,7,-60.5280947635722,135.722856193811,7.86658403418066,0.000175095226203232
"395",-0.680938100997702,NA,-3.04775590441048,NA,-0.939165262906961,NA,NA,NA,1.80975440622114,-0.665732789975907,NA,NA,NA,NA,5,-62.6850787212334,135.723098618937,7.86682645930703,0.000175074003748302
"2131",0.84896522509279,NA,-3.02666826214089,NA,NA,-0.845863336784569,NA,-0.161404971989445,NA,NA,NA,NA,-1.62870968558558,NA,5,-62.6864152867575,135.725771749986,7.8694995903552,0.000174840162177831
"7500",-1.19495791606003,1.23222647378053,-3.35294120136369,NA,-1.36460794672806,NA,NA,0.644054190658979,NA,-0.698934720093723,NA,3.72562334269525,-1.5839401700046,0.210848332679538,9,-58.3221204742989,135.728578297995,7.87230613836503,0.000174594985588432
"2071",0.885162550957485,NA,-3.09660871715942,-0.150954436717085,NA,-0.880496968523708,NA,NA,NA,NA,NA,NA,-1.63914216845171,NA,5,-62.6879581661978,135.728857508866,7.87258534923585,0.00017457061288077
"5656",-2.4065049442395,0.951883017728894,-3.87067650843417,0.0501559527422443,NA,-0.504813144681912,NA,NA,NA,NA,1.05741435724984,3.85341687360675,NA,-0.00475830642459985,8,-59.4334712774261,135.729218003954,7.87294584432352,0.000174539149792229
"3872",0.094857608422155,0.932884207866927,-4.64506599297269,-0.316530117281238,-1.7523053228593,-0.441416045147134,NA,NA,NA,-1.55686803159356,2.54570207419252,3.47637031386941,-1.84999287163929,NA,10,-57.1987033391094,135.730740011552,7.87446785192184,0.000174406375363466
