"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1015",-0.510946913624413,NA,0.00365997551853438,0.0109507820314874,NA,0.0872539292293852,-0.480439329867526,-0.133715432273104,0.00040369510485074,0.0793012966490789,-0.00299244290747344,NA,9,-176.057605181136,371.212771337883,10.9436223312767,0.000127125449288071
"511",-0.63598136906223,NA,0.00364909573288202,0.00988490888952482,0.00417092190029419,0.0886153599504623,-0.496601266739048,-0.170109005651891,0.00026786842117641,0.0889848825076069,NA,NA,9,-176.149681050219,371.396923076047,11.1277740694413,0.000115942980112687
"959",-0.727608937893431,NA,0.00369453251952805,0.0112066514973433,0.00222266716168705,0.0907483921253236,-0.491163798842562,NA,-0.000321787846958623,0.114917111798321,-0.00346937128101522,NA,9,-176.185949344486,371.469459664581,11.2003106579749,0.000111813267479973
"1007",0.0184487372780533,NA,0.00388478132104325,0.0111083275254003,0.00259754371022995,NA,-0.489557372708404,-0.144650278805498,0.000453658592927797,0.0646711977181021,-0.0027456925032683,NA,9,-176.23476208106,371.56708513773,11.2979361311235,0.000106486422489628
"1012",-0.523409096127811,0.256282725865299,0.00349708124255282,NA,NA,0.109800222579679,-0.492542440105593,-0.160559307859243,-0.000957489661695217,0.043046713975624,-0.00206482802079751,NA,9,-176.252589547589,371.602740070788,11.3335910641824,0.00010460486092741
"764",-0.502679900128342,0.260427874755656,0.00350432880920871,NA,-0.00071461565231873,0.107870738992461,-0.492874820465111,-0.159768107739244,-0.000942362254719492,NA,-0.00205838244167777,NA,9,-176.255577956386,371.608716888382,11.3395678817765,0.000104292725467277
"892",-0.470012935069639,0.237026849314992,0.00354104616184906,NA,-0.000740283046504932,0.104559816189055,-0.495298337546978,-0.179718722784172,NA,0.0371544378634789,-0.00202714792429447,NA,9,-176.289942386018,371.677445747645,11.4082967410391,0.000100769646440186
"508",-0.572284525654988,0.254867937833595,0.00345980192161628,NA,-0.000735290059089089,0.103397854425907,-0.49196285448761,-0.168186305663683,-0.000932953967318772,0.0412749753491926,NA,NA,9,-176.315845985198,371.729252946005,11.4601039393993,9.81928679108669e-05
"2036",-0.543652768213479,0.231531241477719,0.00353171903529516,NA,NA,0.112433702548949,-0.485784440933688,-0.127132799938585,-0.000347413394735859,0.0347896635903823,-0.000629894128578993,-0.131830465593392,10,-175.296020784649,371.941734820832,11.6725858142264,8.82958093373411e-05
"1788",-0.535234691397302,0.228902024978549,0.00354697390958108,NA,0.000297914358858678,0.112190434460236,-0.488391286295317,-0.130244791900384,-0.000342194475328555,NA,-0.000631500780073598,-0.131944507152015,10,-175.298418181203,371.94652961394,11.6773806073342,8.8084382806195e-05
