"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LMSPW","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1510",-3.72922458598259,0.00872702721460615,NA,0.282809519844728,NA,NA,-0.159188472113352,3.53319632580213,-3.16053224130206,0.441029939902104,NA,5.79188516256821,NA,NA,8,-91.2896024593129,199.451932191353,14.9036338434876,4.55344870431298e-06
"1020",-2.23832121513223,0.409618182399633,4.04396903671426,NA,-1.07938217300853,1.05804075490629,1.70655824261295,1.83625968870415,-4.0004617013663,0.424763629575668,-1.15886445833942,NA,NA,NA,10,-89.0517557923883,199.45320483631,14.904906488445,4.55055216421142e-06
"7514",-5.64361733280235,-0.115390651347065,NA,NA,-1.05567346394047,1.18138426165023,NA,3.07393126638277,NA,0.394414234310257,NA,7.05157363504504,1.14417282889503,-1.07669186861915,9,-90.1780868927207,199.453734761051,14.9054364131857,4.5493465988453e-06
"1469",-2.75833973665132,NA,NA,0.309064364348417,-0.587010926651696,1.93830939498474,0.0848945800764767,NA,-2.96984621021606,0.418242494204401,NA,5.70464102227155,NA,NA,8,-91.2905604843177,199.453848241363,14.9055498934972,4.5490884755338e-06
"7545",-5.80191227775359,NA,NA,NA,-1.15254718210856,1.2107096656535,0.217793265109479,3.15530932709322,NA,0.339725708107989,NA,7.11113698134642,1.16148931530011,-1.05625920740169,9,-90.1783134939948,199.454187963599,14.9058896157338,4.54831582790138e-06
"3457",-2.78046709716298,NA,NA,NA,NA,NA,NA,NA,-3.02371875737164,0.229984400942725,NA,6.39783024626611,1.4118839230558,NA,5,-94.5504616026851,199.458066062513,14.9097677146476,4.53950496367673e-06
"1438",-2.73049062364122,0.0305325096312502,NA,0.309328023826958,-0.567180655521732,1.93591064487339,NA,NA,-2.97418967789875,0.411904594450423,NA,5.7113478086557,NA,NA,8,-91.2932372174163,199.45920170756,14.9109033596945,4.53692806219376e-06
"5060",-1.25546585155546,0.426710602900771,3.9637476775811,NA,NA,NA,NA,1.86843924494302,-3.62324065455663,0.655808764027766,-1.25737279013433,NA,NA,-0.855650844247218,8,-91.2957867488669,199.464300770461,14.9160024225957,4.52537575415404e-06
"7293",-5.83513430348254,NA,NA,0.315386364952686,-1.11089630625109,1.24430022380376,0.223259871173217,3.17128087025214,NA,NA,NA,7.01646333881849,1.1640759683038,-1.07073600291339,9,-90.1847971556435,199.467155286897,14.9188569390312,4.51892148147305e-06
"6828",-1.31380704240276,0.294969990453572,5.24110147963972,NA,-1.20176575749641,NA,1.57355485863209,NA,-3.92196894509979,NA,-0.626548694339086,NA,0.698762100320583,-0.839839058837257,9,-90.1857371430777,199.469035261765,14.9207369138996,4.51467574784491e-06
