"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"7957",-0.41321022101863,NA,NA,1.03900742591887,NA,-1.00779513709287,NA,NA,NA,-2.85413859523739,-0.595610863956662,1.05714791424072,-0.425741843151178,-0.0499119207544653,8,-78.0788335498388,173.019942548779,16.1360544977638,3.11385423742019e-06
"4903",-1.17436230071322,NA,0.221746379388573,1.23847236537237,NA,NA,0.206583245549785,NA,NA,-2.59336935610532,-0.198801443875001,NA,NA,-0.051286456094812,7,-79.1775068345308,173.021680335728,16.1377922847127,3.11114980489504e-06
"4941",-1.12726207515856,NA,NA,1.25373285543827,-0.352626987490916,NA,NA,0.472869526055025,NA,-2.57137303422741,-0.27857739990149,NA,NA,-0.0719083682260678,7,-79.1787035936348,173.024073853936,16.1401858029207,3.10742873509826e-06
"3019",-1.54799473680015,NA,0.27539440850468,NA,-0.470805042229489,NA,NA,0.795353661751381,2.40512539723663,-2.68134066390417,-0.513779699152952,NA,-0.471950254766058,NA,8,-78.08577166153,173.033818772162,16.1499307211462,3.09232474231616e-06
"4003",-1.4300375839432,NA,0.135358074668727,NA,NA,NA,0.200579551136148,NA,2.07261143647394,-2.75783843740628,-0.65007892098455,0.780908515025615,-0.43351011724203,NA,8,-78.0873650100642,173.03700546923,16.1531174182147,3.08740151447114e-06
"4935",-1.14305114446974,NA,0.219555061853154,1.22672874528076,NA,NA,NA,0.225584946650845,NA,-2.68638642991238,-0.26556884761129,NA,NA,-0.0542716514601785,7,-79.1863301624675,173.039326991602,16.155438940586,3.08381985775475e-06
"2567",-1.77275830301318,NA,-0.111521038628811,1.00058642973411,NA,NA,NA,NA,NA,NA,-0.395767242730066,NA,-0.293658646486285,NA,5,-81.3465075605648,173.0459562976,16.1620682465847,3.07361498715968e-06
"8067",-1.32029327731384,NA,0.160710264847454,NA,NA,NA,NA,NA,2.09590254397985,-2.73173077793621,-0.620287736158176,0.773937157622954,-0.421099285039474,-0.135766934741958,8,-78.093530266094,173.04933598129,16.1654479302743,3.06842544992302e-06
"6925",-0.911170582485839,NA,NA,1.30510127241622,-0.314716881023396,NA,NA,NA,NA,-2.33205237321595,-0.055363043396538,NA,-0.336810383568166,-0.0178063530472416,7,-79.1913498090055,173.049366284678,16.1654782336621,3.06837895843206e-06
"3157",-1.0950740559168,NA,NA,1.08649874400418,NA,-0.974516140725239,NA,-0.754502238343706,NA,NA,NA,0.231271194847609,-0.449673267617093,NA,6,-80.2762701864857,173.04958179309,16.1656937420742,3.06804834550626e-06
