"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"767",0.370219422023756,NA,-3.60274827064447,1.92608449516553,-2.94681197773475,-0.98659157352204,0.246109819495332,-0.352114380401677,2.88623705688606,NA,0.10469631392039,NA,NA,NA,9,-89.1908854005991,197.466108150596,14.4424519028397,1.98677905678868e-05
"4560",-0.0949479442268387,0.385191371906492,-3.92578764738696,2.30988771110072,-3.22300579233164,NA,NA,-1.01516003548753,3.33151007817839,1.01656781727206,NA,NA,NA,-0.149331380615142,9,-89.1909974289674,197.466332207332,14.4426759595762,1.98655649363981e-05
"4019",-2.36300981100475,NA,-1.75957177565415,NA,NA,-1.3390580769742,-0.782129312956956,NA,1.78942778916586,1.69697255746767,-1.34252811780814,4.31561816092629,0.603760225922839,NA,9,-89.1910598193044,197.466456988006,14.4428007402502,1.98643255557696e-05
"1144",-1.02893396580026,0.00352096355074329,-2.30493637226323,1.6837506469635,NA,-1.60576529776733,-1.54145482605907,-0.0791839301967259,NA,NA,NA,4.11778617271527,NA,NA,8,-90.302118468078,197.466512385258,14.4428561375017,1.98637753488707e-05
"1041",-2.32036859652242,NA,NA,NA,NA,-1.67196923040062,NA,NA,NA,NA,NA,4.95590185096497,NA,NA,3,-95.6648752553572,197.469285394435,14.4456291466792,1.983625321739e-05
"7370",-2.86025011199002,-0.243977632595864,NA,NA,-2.43424001162643,NA,NA,-0.579116346516158,2.45527037115458,NA,NA,4.97793922133684,0.494615906411919,-0.49805990243767,8,-90.3047582137748,197.471791876651,14.4481356288952,1.98114091804651e-05
"8121",-3.14271164368562,NA,NA,NA,-1.92251677249716,-0.820896669498464,0.326933788419719,NA,2.52371097927492,1.5885038800675,-1.88272033976064,4.81865183488683,0.403981384263194,-0.352846925974637,10,-88.0697419681798,197.472817269693,14.4491610219368,1.98012545432513e-05
"2303",0.313505440897804,NA,-3.53880982731636,1.93612568939029,-2.91717144971117,-0.988385312621301,0.242106803871654,-0.304136275700755,2.89928366785291,NA,NA,NA,0.0252573504384228,NA,9,-89.1949620852774,197.474261519952,14.4506052721962,1.97869607213312e-05
"3354",-2.080148305327,-0.375073625399763,NA,NA,-1.94067466098911,-1.15095808900286,NA,NA,NA,0.577461409089428,NA,5.26715901936183,0.28313416106815,NA,7,-91.4043590407042,197.475384748075,14.4517285003189,1.97758512058815e-05
"3502",-4.65074943585676,-0.382861368575399,NA,1.77480115218606,-2.6541235305403,NA,0.0292932575113923,NA,2.44216503597353,0.5778386973706,NA,5.38900046662699,0.298605161729367,NA,9,-89.1972016911935,197.478740731785,14.4550844840284,1.97426953140749e-05
"5783",-2.40785940254173,NA,-1.88922847672352,1.43815380222585,NA,-1.44049436204911,NA,NA,1.70779739589742,NA,-0.797862917396537,3.92976585685037,NA,0.0421178964265028,8,-90.3107524839275,197.483780416957,14.4601241692005,1.96930094562195e-05
"5975",-2.16190440129507,NA,-1.58090801044901,1.96253597318649,NA,-1.6922729382412,NA,-0.758792500826619,NA,2.26434946847773,-1.50011046799906,4.28891464341145,NA,0.0285913925264026,9,-89.199748489654,197.483834328706,14.4601780809493,1.96924786210845e-05
"3713",-3.94862196110495,NA,NA,NA,NA,NA,NA,NA,2.3138980687747,NA,-1.79991735488774,4.68991795654823,0.976808302994403,NA,5,-93.5667232286069,197.486387633684,14.4627313859282,1.96673542102135e-05
"1751",-2.41661680205464,NA,-1.88694845906226,1.42981919269495,NA,-1.44424469571245,NA,0.0425931346709488,1.71912966984032,NA,-0.810633663141227,3.93737457794794,NA,NA,8,-90.3120934689673,197.486462387036,14.4628061392802,1.96666191236244e-05
"476",1.31613507808711,0.317067262322692,-3.79138563464434,NA,-2.62895807658721,-1.16330956852701,NA,-0.433605566869097,2.88549685388291,0.720165213059904,NA,NA,NA,NA,8,-90.3124213523674,197.487118153837,14.4634619060805,1.96601718227163e-05
