"","(Intercept)","log(COND_avg)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","nonFP_species_richness","df","logLik","AICc","delta","weight"
"81",0.134364532155173,NA,NA,NA,NA,-0.0446392672098107,NA,-0.0384719001398211,3,-194.003280926332,394.147738323252,38.029178327483,9.95034013292075e-10
"73",0.18290984696951,NA,NA,NA,-0.167976776644786,NA,NA,-0.0432308712105916,3,-194.265414830774,394.672006132137,38.5534461363677,7.65587119811923e-10
"27",-5.01472012098381,NA,2.60264407534914,NA,-0.0958636329965088,-0.126976655828882,NA,NA,4,-193.276516025771,394.789718442074,38.6711584463047,7.21827984127839e-10
"89",0.138050022243379,NA,NA,NA,-0.0118111605419901,-0.0439622190062497,NA,-0.0384344375640672,4,-194.002975582333,396.242637555198,40.1240775594294,3.49089139913432e-10
"11",-4.7791977600217,NA,2.49774131406661,NA,-0.694097820861157,NA,NA,NA,3,-195.961978892031,398.06513425465,41.9465742588814,1.40341530453112e-10
"17",-0.154757453356029,NA,NA,NA,NA,-0.12699452561408,NA,NA,2,-197.390032217651,398.850239873898,42.7316798781285,9.47769413968882e-11
"3",-5.10174803115753,NA,2.50203615300877,NA,NA,NA,NA,NA,2,-197.464847161661,398.999869761919,42.8813097661501,8.79449632715008e-11
"25",-0.110802816428964,NA,NA,NA,-0.131650892043592,-0.118393247038086,NA,NA,3,-197.350921038148,400.843018546884,44.7244585511154,3.49926069427926e-11
"9",-0.0696684781255675,NA,NA,NA,-0.702789510431879,NA,NA,NA,2,-199.706962488682,403.48410041596,47.3655404201905,9.34270546304404e-12
"1",-0.388370674748865,NA,NA,NA,NA,NA,NA,NA,1,-201.271238403981,404.565732621916,48.4471726261472,5.44000386559727e-12
